year,CQ,COP,file,reference_profile
2030,CQ1,COP2,data/model_inputs/thermal/2030_CQ1_COP2.csv.gz,5
2030,CQ2,COP1,data/model_inputs/thermal/2030_CQ2_COP1.csv.gz,8
2030,CQ2,COP2,data/model_inputs/thermal/2030_CQ2_COP2.csv.gz,1
2030,CQ3,COP1,data/model_inputs/thermal/2030_CQ3_COP1.csv.gz,25
2030,CQ3,COP2,data/model_inputs/thermal/2030_CQ3_COP2.csv.gz,14
2030,CQ4,COP1,data/model_inputs/thermal/2030_CQ4_COP1.csv.gz,27
2030,CQ4,COP2,data/model_inputs/thermal/2030_CQ4_COP2.csv.gz,2
2030,CQ5,COP1,data/model_inputs/thermal/2030_CQ5_COP1.csv.gz,7
2030,CQ5,COP2,data/model_inputs/thermal/2030_CQ5_COP2.csv.gz,4
2030,CQ6,COP1,data/model_inputs/thermal/2030_CQ6_COP1.csv.gz,10
2030,CQ6,COP2,data/model_inputs/thermal/2030_CQ6_COP2.csv.gz,11
2031,CQ1,COP1,data/model_inputs/thermal/2031_CQ1_COP1.csv.gz,3
2031,CQ1,COP2,data/model_inputs/thermal/2031_CQ1_COP2.csv.gz,5
2031,CQ2,COP1,data/model_inputs/thermal/2031_CQ2_COP1.csv.gz,8
2031,CQ2,COP2,data/model_inputs/thermal/2031_CQ2_COP2.csv.gz,1
2031,CQ3,COP1,data/model_inputs/thermal/2031_CQ3_COP1.csv.gz,25
2031,CQ3,COP2,data/model_inputs/thermal/2031_CQ3_COP2.csv.gz,14
2031,CQ4,COP1,data/model_inputs/thermal/2031_CQ4_COP1.csv.gz,27
2031,CQ4,COP2,data/model_inputs/thermal/2031_CQ4_COP2.csv.gz,2
2031,CQ5,COP1,data/model_inputs/thermal/2031_CQ5_COP1.csv.gz,7
2031,CQ5,COP2,data/model_inputs/thermal/2031_CQ5_COP2.csv.gz,4
2031,CQ6,COP1,data/model_inputs/thermal/2031_CQ6_COP1.csv.gz,10
2031,CQ6,COP2,data/model_inputs/thermal/2031_CQ6_COP2.csv.gz,11
2032,CQ1,COP1,data/model_inputs/thermal/2032_CQ1_COP1.csv.gz,3
2032,CQ1,COP2,data/model_inputs/thermal/2032_CQ1_COP2.csv.gz,5
2032,CQ2,COP1,data/model_inputs/thermal/2032_CQ2_COP1.csv.gz,8
2032,CQ2,COP2,data/model_inputs/thermal/2032_CQ2_COP2.csv.gz,1
2032,CQ3,COP1,data/model_inputs/thermal/2032_CQ3_COP1.csv.gz,25
2032,CQ3,COP2,data/model_inputs/thermal/2032_CQ3_COP2.csv.gz,14
2032,CQ4,COP1,data/model_inputs/thermal/2032_CQ4_COP1.csv.gz,27
2032,CQ4,COP2,data/model_inputs/thermal/2032_CQ4_COP2.csv.gz,2
2032,CQ5,COP1,data/model_inputs/thermal/2032_CQ5_COP1.csv.gz,7
2032,CQ5,COP2,data/model_inputs/thermal/2032_CQ5_COP2.csv.gz,4
2032,CQ6,COP1,data/model_inputs/thermal/2032_CQ6_COP1.csv.gz,10
2032,CQ6,COP2,data/model_inputs/thermal/2032_CQ6_COP2.csv.gz,11
2033,CQ1,COP1,data/model_inputs/thermal/2033_CQ1_COP1.csv.gz,3
2033,CQ1,COP2,data/model_inputs/thermal/2033_CQ1_COP2.csv.gz,5
2033,CQ2,COP1,data/model_inputs/thermal/2033_CQ2_COP1.csv.gz,8
2033,CQ2,COP2,data/model_inputs/thermal/2033_CQ2_COP2.csv.gz,1
2033,CQ3,COP1,data/model_inputs/thermal/2033_CQ3_COP1.csv.gz,25
2033,CQ3,COP2,data/model_inputs/thermal/2033_CQ3_COP2.csv.gz,14
2033,CQ4,COP1,data/model_inputs/thermal/2033_CQ4_COP1.csv.gz,27
2033,CQ4,COP2,data/model_inputs/thermal/2033_CQ4_COP2.csv.gz,2
2033,CQ5,COP1,data/model_inputs/thermal/2033_CQ5_COP1.csv.gz,7
2033,CQ5,COP2,data/model_inputs/thermal/2033_CQ5_COP2.csv.gz,4
2033,CQ6,COP1,data/model_inputs/thermal/2033_CQ6_COP1.csv.gz,10
2033,CQ6,COP2,data/model_inputs/thermal/2033_CQ6_COP2.csv.gz,11
2034,CQ1,COP1,data/model_inputs/thermal/2034_CQ1_COP1.csv.gz,3
2034,CQ1,COP2,data/model_inputs/thermal/2034_CQ1_COP2.csv.gz,5
2034,CQ2,COP1,data/model_inputs/thermal/2034_CQ2_COP1.csv.gz,8
2034,CQ2,COP2,data/model_inputs/thermal/2034_CQ2_COP2.csv.gz,1
2034,CQ3,COP1,data/model_inputs/thermal/2034_CQ3_COP1.csv.gz,25
2034,CQ3,COP2,data/model_inputs/thermal/2034_CQ3_COP2.csv.gz,14
2034,CQ4,COP1,data/model_inputs/thermal/2034_CQ4_COP1.csv.gz,27
2034,CQ4,COP2,data/model_inputs/thermal/2034_CQ4_COP2.csv.gz,2
2034,CQ5,COP1,data/model_inputs/thermal/2034_CQ5_COP1.csv.gz,7
2034,CQ5,COP2,data/model_inputs/thermal/2034_CQ5_COP2.csv.gz,4
2034,CQ6,COP1,data/model_inputs/thermal/2034_CQ6_COP1.csv.gz,10
2034,CQ6,COP2,data/model_inputs/thermal/2034_CQ6_COP2.csv.gz,11
2035,CQ1,COP1,data/model_inputs/thermal/2035_CQ1_COP1.csv.gz,3
2035,CQ1,COP2,data/model_inputs/thermal/2035_CQ1_COP2.csv.gz,5
2035,CQ2,COP1,data/model_inputs/thermal/2035_CQ2_COP1.csv.gz,8
2035,CQ2,COP2,data/model_inputs/thermal/2035_CQ2_COP2.csv.gz,1
2035,CQ3,COP1,data/model_inputs/thermal/2035_CQ3_COP1.csv.gz,25
2035,CQ3,COP2,data/model_inputs/thermal/2035_CQ3_COP2.csv.gz,14
2035,CQ4,COP1,data/model_inputs/thermal/2035_CQ4_COP1.csv.gz,27
2035,CQ4,COP2,data/model_inputs/thermal/2035_CQ4_COP2.csv.gz,2
2035,CQ5,COP1,data/model_inputs/thermal/2035_CQ5_COP1.csv.gz,7
2035,CQ5,COP2,data/model_inputs/thermal/2035_CQ5_COP2.csv.gz,4
2035,CQ6,COP1,data/model_inputs/thermal/2035_CQ6_COP1.csv.gz,10
2035,CQ6,COP2,data/model_inputs/thermal/2035_CQ6_COP2.csv.gz,11
